21/6/2019-17:56:32:385	 User_id:1126430091112636400	Name:Aida Somar	 User Name:SomarAida
21/6/2019-17:56:32:389	 User_id:1043104153948409900	Name:potato-ish (RT DEALS CLOSED)	 User Name:PotatoSenpai11
21/6/2019-17:56:32:393	 User_id:1152195835414876200	Name:josh brown	 User Name:joshbro09178003
21/6/2019-17:56:32:397	 User_id:23432687	Name:Mikey K	 User Name:Mikey_Moo
21/6/2019-17:56:32:400	 User_id:175036995	Name:Oʅιʋια Gɾαƈҽ✨	 User Name:OliviawatsonX
21/6/2019-17:56:32:402	 User_id:2743174914	Name:[┐∵]┘BTS Outbots└[∵┌]	 User Name:YourBTSBoardNow
21/6/2019-17:56:32:405	 User_id:1132114114728190000	Name:เจ้ากระต่าย🐰🍋	 User Name:Rabbit_junjun
21/6/2019-17:56:32:406	 User_id:113171492	Name:Chloë Elizabeth	 User Name:ch10jo
21/6/2019-17:56:32:408	 User_id:3097110520	Name:Nintenimal	 User Name:Nintenimal
21/6/2019-17:56:32:411	 User_id:753106171523981300	Name:kami,, mingsia day	 User Name:ninidiaries
21/6/2019-17:56:33:204	 User_id:1045274981846802400	Name:Rajahhhh✨	 User Name:ragieisdeadbruh
21/6/2019-17:56:33:209	 User_id:861224406948823000	Name:👀	 User Name:tkookship
21/6/2019-17:56:33:214	 User_id:949015949507727400	Name:~Тоха ~	 User Name:AVGUSHAD
21/6/2019-17:56:33:219	 User_id:1124637547475247100	Name:Zig Karat	 User Name:kbanlangzx
21/6/2019-17:56:33:220	 User_id:760362391758483500	Name:That’sJustStupid	 User Name:MCrazyeyes
21/6/2019-17:56:33:225	 User_id:284199691	Name:Karla K	 User Name:Karla_ia22
21/6/2019-17:56:33:227	 User_id:926432845937152000	Name:Hasnain Moavia	 User Name:Hasnain41880142
21/6/2019-17:56:33:229	 User_id:961215230192709600	Name:á	 User Name:gailosis_
21/6/2019-17:56:33:231	 User_id:1036653044249907200	Name:ندى	 User Name:nadaaajm
21/6/2019-17:56:33:233	 User_id:1148530684044238800	Name:J🐥I🐣M🐥I🐣N	 User Name:BTShelpCenter1
21/6/2019-17:56:33:235	 User_id:1595024736	Name:Machuca || #RickyRenuncia	 User Name:coachmachuca
21/6/2019-17:56:33:238	 User_id:1077594499591913500	Name:fallen angel	 User Name:lillangelx
21/6/2019-17:56:33:240	 User_id:348367816	Name:lew	 User Name:lewlew41986
21/6/2019-17:56:33:243	 User_id:985323765277057000	Name:Hentai Jonesy #NoBitchNiggas	 User Name:HentaiJonesy
21/6/2019-17:56:33:246	 User_id:1118142251882950700	Name:z	 User Name:__zily
21/6/2019-17:56:34:229	 User_id:760369020906319900	Name:💜 Love 💜	 User Name:tae_jin_kook
21/6/2019-17:56:34:232	 User_id:2714370050	Name:anne	 User Name:riezelising
21/6/2019-17:56:34:237	 User_id:1139532086581198800	Name:pasta	 User Name:chipmunk_se
21/6/2019-17:56:34:240	 User_id:849579354904551400	Name:Shanzéa	 User Name:btspavedwhat
21/6/2019-17:56:34:243	 User_id:930514383503003600	Name:#이진혁_수고했어_사랑해	 User Name:yireonful
21/6/2019-17:56:34:245	 User_id:4493744734	Name:Gayle Warner	 User Name:billyboblouise
21/6/2019-17:56:34:247	 User_id:757117082777612300	Name:Daniel Rivera	 User Name:dahriwaters
21/6/2019-17:56:34:250	 User_id:948974949510844400	Name:Chav Power	 User Name:Chavpower
21/6/2019-17:56:34:253	 User_id:4160239038	Name:Elizabeth	 User Name:lizzzyk66
21/6/2019-17:56:34:256	 User_id:2604053932	Name:Sam @FE3H 💛🦌	 User Name:Laegjam
21/6/2019-17:56:34:259	 User_id:934828574258974700	Name:vivs	 User Name:seungnificent
21/6/2019-17:56:35:254	 User_id:1140595412283224000	Name:Raffy 😈	 User Name:RafaelDmnhn
21/6/2019-17:56:35:264	 User_id:2602201627	Name:Spartee GH😎	 User Name:sparteeGH
21/6/2019-17:56:35:268	 User_id:752630525748191200	Name:KhAn U m A i R	 User Name:Mumairone1
